Init: HR = 0.0975, NDCG = 0.0454
Iteration 0 [11.0 s]: HR = 0.4474, NDCG = 0.2472, loss = 0.4303 [31.3 s]
Iteration 1 [10.2 s]: HR = 0.4631, NDCG = 0.2582, loss = 0.3884 [32.6 s]
Iteration 2 [10.0 s]: HR = 0.5066, NDCG = 0.2873, loss = 0.3792 [31.0 s]
Iteration 3 [9.8 s]: HR = 0.4793, NDCG = 0.2521, loss = 0.3803 [31.0 s]
Iteration 4 [10.1 s]: HR = 0.5339, NDCG = 0.3055, loss = 0.3611 [33.5 s]
Iteration 5 [10.0 s]: HR = 0.0171, NDCG = 0.0096, loss = 1.9438 [32.0 s]
Iteration 6 [10.0 s]: HR = 0.5412, NDCG = 0.3032, loss = 1.2342 [32.0 s]
Iteration 7 [10.3 s]: HR = 0.5376, NDCG = 0.2885, loss = 0.3933 [36.0 s]
Iteration 8 [10.5 s]: HR = 0.5417, NDCG = 0.2986, loss = 0.3441 [33.8 s]
Iteration 9 [10.6 s]: HR = 0.5475, NDCG = 0.2997, loss = 0.3878 [32.2 s]
Iteration 10 [10.0 s]: HR = 0.0899, NDCG = 0.0515, loss = 2.3991 [32.5 s]
Iteration 11 [10.2 s]: HR = 0.0270, NDCG = 0.0162, loss = 3.4820 [33.8 s]
Iteration 12 [10.5 s]: HR = 0.0240, NDCG = 0.0135, loss = 3.3216 [34.4 s]
Iteration 13 [10.2 s]: HR = 0.0278, NDCG = 0.0173, loss = 3.1930 [33.5 s]
Iteration 14 [10.0 s]: HR = 0.0063, NDCG = 0.0024, loss = 5.9527 [33.0 s]
Iteration 15 [9.8 s]: HR = 0.4669, NDCG = 0.2706, loss = 6.7296 [32.3 s]
Iteration 16 [10.1 s]: HR = 0.5649, NDCG = 0.3138, loss = 0.6149 [31.9 s]
Iteration 17 [9.9 s]: HR = 0.5685, NDCG = 0.3178, loss = 0.5735 [33.9 s]
Iteration 18 [10.3 s]: HR = 0.1482, NDCG = 0.0909, loss = 4.4327 [35.4 s]
Iteration 19 [10.4 s]: HR = 0.0232, NDCG = 0.0127, loss = 2.2953 [34.5 s]
Iteration 20 [9.9 s]: HR = 0.5523, NDCG = 0.3035, loss = 1.5321 [35.4 s]
Iteration 21 [10.4 s]: HR = 0.0626, NDCG = 0.0392, loss = 0.9639 [33.4 s]
Iteration 22 [9.9 s]: HR = 0.4811, NDCG = 0.2777, loss = 0.6160 [32.3 s]
Iteration 23 [10.3 s]: HR = 0.0040, NDCG = 0.0016, loss = 11.7949 [32.0 s]
Iteration 24 [9.7 s]: HR = 0.0043, NDCG = 0.0017, loss = 12.0802 [35.8 s]
Iteration 25 [10.4 s]: HR = 0.0046, NDCG = 0.0019, loss = 12.0723 [32.7 s]
Iteration 26 [9.9 s]: HR = 0.0510, NDCG = 0.0370, loss = 5.2010 [32.7 s]
Iteration 27 [10.0 s]: HR = 0.1118, NDCG = 0.0824, loss = 2.8467 [33.6 s]
Iteration 28 [10.3 s]: HR = 0.4970, NDCG = 0.2798, loss = 2.4358 [33.9 s]
Iteration 29 [10.2 s]: HR = 0.5583, NDCG = 0.3147, loss = 1.9675 [32.5 s]
Iteration 30 [10.1 s]: HR = 0.5169, NDCG = 0.2857, loss = 0.5197 [32.0 s]
Iteration 31 [9.6 s]: HR = 0.5627, NDCG = 0.3131, loss = 0.7498 [33.8 s]
Iteration 32 [10.6 s]: HR = 0.0538, NDCG = 0.0327, loss = 1.7343 [32.4 s]
Iteration 33 [9.8 s]: HR = 0.5624, NDCG = 0.3095, loss = 0.6206 [33.5 s]
Iteration 34 [9.8 s]: HR = 0.0043, NDCG = 0.0016, loss = 7.8796 [34.0 s]
Iteration 35 [9.9 s]: HR = 0.1283, NDCG = 0.0951, loss = 4.2866 [32.9 s]
Iteration 36 [10.2 s]: HR = 0.1149, NDCG = 0.0798, loss = 2.8723 [35.6 s]
Iteration 37 [10.0 s]: HR = 0.2134, NDCG = 0.1492, loss = 2.8674 [35.6 s]
Iteration 38 [10.5 s]: HR = 0.5442, NDCG = 0.3026, loss = 2.0017 [35.7 s]
Iteration 39 [10.2 s]: HR = 0.1964, NDCG = 0.1375, loss = 4.6619 [36.5 s]
Iteration 40 [11.0 s]: HR = 0.1975, NDCG = 0.1298, loss = 2.4583 [33.1 s]
Iteration 41 [10.1 s]: HR = 0.1535, NDCG = 0.0949, loss = 2.3154 [32.6 s]
Iteration 42 [10.4 s]: HR = 0.0040, NDCG = 0.0015, loss = 5.7200 [34.3 s]
Iteration 43 [10.6 s]: HR = 0.0040, NDCG = 0.0015, loss = 12.1482 [36.9 s]
Iteration 44 [10.0 s]: HR = 0.1965, NDCG = 0.1456, loss = 10.4842 [34.2 s]
Iteration 45 [10.3 s]: HR = 0.0040, NDCG = 0.0015, loss = 8.6584 [33.0 s]
Iteration 46 [10.1 s]: HR = 0.0040, NDCG = 0.0015, loss = 12.2049 [33.1 s]
Iteration 47 [10.0 s]: HR = 0.2447, NDCG = 0.1720, loss = 10.5883 [33.3 s]
Iteration 48 [10.0 s]: HR = 0.3033, NDCG = 0.2000, loss = 2.7024 [33.0 s]
Iteration 49 [10.1 s]: HR = 0.3444, NDCG = 0.2156, loss = 2.6299 [33.9 s]
End. Best Iteration 17:  HR = 0.5685, NDCG = 0.3178. 
