Init: HR = 0.0801, NDCG = 0.0368
Iteration 0 [24.0 s]: HR = 0.4523, NDCG = 0.2505, loss = 0.2654 [33.8 s]
Iteration 1 [24.8 s]: HR = 0.5293, NDCG = 0.2960, loss = 0.2272 [36.9 s]
Iteration 2 [24.1 s]: HR = 0.5679, NDCG = 0.3176, loss = 0.2253 [38.4 s]
Iteration 3 [24.9 s]: HR = 0.5690, NDCG = 0.3215, loss = 0.2161 [35.4 s]
Iteration 4 [24.0 s]: HR = 0.5950, NDCG = 0.3388, loss = 0.2165 [35.1 s]
Iteration 5 [24.2 s]: HR = 0.6013, NDCG = 0.3474, loss = 0.2061 [30.9 s]
Iteration 6 [22.9 s]: HR = 0.0127, NDCG = 0.0057, loss = 1.5562 [33.6 s]
Iteration 7 [23.9 s]: HR = 0.0215, NDCG = 0.0082, loss = 3.3550 [31.9 s]
Iteration 8 [24.3 s]: HR = 0.0220, NDCG = 0.0082, loss = 5.1354 [33.4 s]
Iteration 9 [23.5 s]: HR = 0.0235, NDCG = 0.0086, loss = 9.6606 [31.8 s]
Iteration 10 [24.6 s]: HR = 0.0237, NDCG = 0.0087, loss = 11.5084 [34.7 s]
Iteration 11 [45.1 s]: HR = 0.0076, NDCG = 0.0056, loss = 10.1178 [38.8 s]
Iteration 12 [26.2 s]: HR = 0.0149, NDCG = 0.0126, loss = 1.4539 [41.7 s]
Iteration 13 [26.2 s]: HR = 0.0199, NDCG = 0.0174, loss = 1.4443 [41.9 s]
Iteration 14 [26.1 s]: HR = 0.0215, NDCG = 0.0193, loss = 1.4402 [37.3 s]
Iteration 15 [26.2 s]: HR = 0.0329, NDCG = 0.0297, loss = 1.4330 [40.6 s]
Iteration 16 [26.0 s]: HR = 0.0464, NDCG = 0.0423, loss = 1.4262 [37.5 s]
Iteration 17 [26.1 s]: HR = 0.0626, NDCG = 0.0561, loss = 1.4168 [37.2 s]
Iteration 18 [26.0 s]: HR = 0.0743, NDCG = 0.0661, loss = 1.4059 [38.5 s]
Iteration 19 [27.1 s]: HR = 0.0836, NDCG = 0.0736, loss = 1.3998 [44.3 s]
Iteration 20 [27.1 s]: HR = 0.0849, NDCG = 0.0748, loss = 1.3955 [47.9 s]
Iteration 21 [26.6 s]: HR = 0.0952, NDCG = 0.0819, loss = 1.3922 [39.7 s]
Iteration 22 [26.5 s]: HR = 0.0990, NDCG = 0.0823, loss = 1.3997 [48.1 s]
Iteration 23 [26.7 s]: HR = 0.1116, NDCG = 0.0915, loss = 1.4194 [41.2 s]
Iteration 24 [26.8 s]: HR = 0.1361, NDCG = 0.1102, loss = 1.4178 [112.6 s]
Iteration 25 [26.1 s]: HR = 0.1374, NDCG = 0.1106, loss = 1.4058 [42.1 s]
Iteration 26 [26.6 s]: HR = 0.1419, NDCG = 0.1148, loss = 1.4066 [38.7 s]
Iteration 27 [26.7 s]: HR = 0.1387, NDCG = 0.1087, loss = 1.4015 [41.6 s]
Iteration 28 [26.4 s]: HR = 0.1470, NDCG = 0.1140, loss = 1.4550 [41.0 s]
Iteration 29 [26.5 s]: HR = 0.1520, NDCG = 0.1164, loss = 1.4641 [38.3 s]
Iteration 30 [26.4 s]: HR = 0.1500, NDCG = 0.1145, loss = 1.4734 [38.9 s]
Iteration 31 [26.2 s]: HR = 0.1626, NDCG = 0.1215, loss = 1.4865 [37.3 s]
Iteration 32 [26.3 s]: HR = 0.1697, NDCG = 0.1249, loss = 1.5025 [37.1 s]
Iteration 33 [26.3 s]: HR = 0.1579, NDCG = 0.1258, loss = 1.4936 [37.1 s]
Iteration 34 [26.2 s]: HR = 0.1576, NDCG = 0.1177, loss = 1.4245 [36.8 s]
Iteration 35 [26.3 s]: HR = 0.1116, NDCG = 0.0944, loss = 1.4232 [36.3 s]
Iteration 36 [26.1 s]: HR = 0.0977, NDCG = 0.0846, loss = 1.4289 [36.0 s]
Iteration 37 [26.3 s]: HR = 0.1429, NDCG = 0.1143, loss = 1.4008 [35.7 s]
Iteration 38 [38.6 s]: HR = 0.1366, NDCG = 0.1087, loss = 1.5144 [40.1 s]
Iteration 39 [26.0 s]: HR = 0.1576, NDCG = 0.1169, loss = 1.4169 [35.5 s]
Iteration 40 [25.7 s]: HR = 0.0874, NDCG = 0.0765, loss = 1.4668 [35.4 s]
Iteration 41 [25.7 s]: HR = 0.0644, NDCG = 0.0562, loss = 1.4072 [35.1 s]
Iteration 42 [26.2 s]: HR = 0.1030, NDCG = 0.0868, loss = 1.3947 [35.6 s]
Iteration 43 [26.2 s]: HR = 0.1641, NDCG = 0.1151, loss = 1.4849 [35.2 s]
Iteration 44 [26.2 s]: HR = 0.1522, NDCG = 0.1155, loss = 1.6068 [35.5 s]
Iteration 45 [26.1 s]: HR = 0.1753, NDCG = 0.1197, loss = 1.5151 [35.2 s]
Iteration 46 [26.2 s]: HR = 0.1911, NDCG = 0.1235, loss = 1.5059 [36.1 s]
Iteration 47 [26.1 s]: HR = 0.1770, NDCG = 0.1216, loss = 1.7285 [35.5 s]
Iteration 48 [25.9 s]: HR = 0.0772, NDCG = 0.0680, loss = 1.5611 [35.2 s]
Iteration 49 [25.8 s]: HR = 0.2013, NDCG = 0.1195, loss = 1.4242 [35.7 s]
End. Best Iteration 5:  HR = 0.6013, NDCG = 0.3474. 
