Init: HR = 0.1107, NDCG = 0.0496
Iteration 0 [2.0 s]: HR = 0.2638, NDCG = 0.1442, loss = 0.6546 [22.0 s]
Iteration 1 [0.8 s]: HR = 0.3047, NDCG = 0.1603, loss = 0.4849 [23.0 s]
Iteration 2 [0.8 s]: HR = 0.3182, NDCG = 0.1681, loss = 0.4569 [22.7 s]
Iteration 3 [0.7 s]: HR = 0.3155, NDCG = 0.1710, loss = 0.4489 [23.5 s]
Iteration 4 [0.7 s]: HR = 0.3344, NDCG = 0.1797, loss = 0.4480 [24.0 s]
Iteration 5 [0.7 s]: HR = 0.3386, NDCG = 0.1809, loss = 0.4435 [24.4 s]
Iteration 6 [0.8 s]: HR = 0.3371, NDCG = 0.1813, loss = 0.4357 [24.8 s]
Iteration 7 [0.8 s]: HR = 0.3401, NDCG = 0.1822, loss = 0.4301 [24.5 s]
Iteration 8 [0.7 s]: HR = 0.3448, NDCG = 0.1840, loss = 0.4205 [23.3 s]
Iteration 9 [0.7 s]: HR = 0.3529, NDCG = 0.1887, loss = 0.4119 [23.1 s]
Iteration 10 [0.7 s]: HR = 0.3567, NDCG = 0.1928, loss = 0.3973 [22.5 s]
Iteration 11 [0.7 s]: HR = 0.3695, NDCG = 0.2026, loss = 0.3829 [23.1 s]
Iteration 12 [0.7 s]: HR = 0.3749, NDCG = 0.2058, loss = 0.3664 [23.6 s]
Iteration 13 [0.7 s]: HR = 0.3907, NDCG = 0.2126, loss = 0.3609 [24.1 s]
Iteration 14 [0.8 s]: HR = 0.4065, NDCG = 0.2205, loss = 0.3379 [21.4 s]
Iteration 15 [0.8 s]: HR = 0.4238, NDCG = 0.2317, loss = 0.3260 [21.3 s]
Iteration 16 [0.8 s]: HR = 0.4242, NDCG = 0.2310, loss = 0.3166 [21.0 s]
Iteration 17 [0.7 s]: HR = 0.3132, NDCG = 0.1629, loss = 0.3338 [21.2 s]
Iteration 18 [0.7 s]: HR = 0.4535, NDCG = 0.2493, loss = 0.3100 [20.7 s]
Iteration 19 [0.7 s]: HR = 0.4620, NDCG = 0.2552, loss = 0.2875 [21.0 s]
Iteration 20 [0.8 s]: HR = 0.4647, NDCG = 0.2562, loss = 0.2840 [20.7 s]
Iteration 21 [0.7 s]: HR = 0.4759, NDCG = 0.2659, loss = 0.2767 [20.7 s]
Iteration 22 [0.7 s]: HR = 0.4747, NDCG = 0.2619, loss = 0.2702 [20.4 s]
Iteration 23 [0.7 s]: HR = 0.4817, NDCG = 0.2692, loss = 0.2670 [20.4 s]
Iteration 24 [0.7 s]: HR = 0.4836, NDCG = 0.2761, loss = 0.2620 [20.4 s]
Iteration 25 [0.7 s]: HR = 0.4867, NDCG = 0.2775, loss = 0.2582 [21.2 s]
Iteration 26 [0.7 s]: HR = 0.4909, NDCG = 0.2790, loss = 0.2566 [21.4 s]
Iteration 27 [0.7 s]: HR = 0.4921, NDCG = 0.2751, loss = 0.2550 [21.2 s]
Iteration 28 [0.7 s]: HR = 0.4890, NDCG = 0.2827, loss = 0.3115 [20.9 s]
Iteration 29 [0.7 s]: HR = 0.2750, NDCG = 0.1411, loss = 2.2939 [20.8 s]
Iteration 30 [0.7 s]: HR = 0.2642, NDCG = 0.1350, loss = 4.8808 [21.2 s]
Iteration 31 [0.7 s]: HR = 0.2977, NDCG = 0.1581, loss = 4.4439 [20.5 s]
Iteration 32 [0.7 s]: HR = 0.2314, NDCG = 0.1366, loss = 3.0284 [20.9 s]
Iteration 33 [0.7 s]: HR = 0.2426, NDCG = 0.1464, loss = 1.6190 [20.4 s]
Iteration 34 [0.7 s]: HR = 0.4767, NDCG = 0.2652, loss = 1.2758 [20.9 s]
Iteration 35 [0.7 s]: HR = 0.4855, NDCG = 0.2727, loss = 0.4859 [19.7 s]
Iteration 36 [0.7 s]: HR = 0.2013, NDCG = 0.1232, loss = 0.7565 [20.0 s]
Iteration 37 [0.7 s]: HR = 0.4034, NDCG = 0.2266, loss = 1.6870 [21.2 s]
Iteration 38 [0.7 s]: HR = 0.0694, NDCG = 0.0340, loss = 5.7350 [20.4 s]
Iteration 39 [0.7 s]: HR = 0.0694, NDCG = 0.0339, loss = 8.9626 [20.7 s]
Iteration 40 [0.7 s]: HR = 0.0694, NDCG = 0.0342, loss = 8.8172 [20.7 s]
Iteration 41 [0.7 s]: HR = 0.0721, NDCG = 0.0347, loss = 8.5545 [20.6 s]
Iteration 42 [0.7 s]: HR = 0.0729, NDCG = 0.0352, loss = 8.3344 [20.6 s]
Iteration 43 [0.7 s]: HR = 0.0810, NDCG = 0.0397, loss = 7.5071 [20.8 s]
Iteration 44 [0.7 s]: HR = 0.0463, NDCG = 0.0249, loss = 3.6702 [21.7 s]
Iteration 45 [0.8 s]: HR = 0.0478, NDCG = 0.0247, loss = 3.2619 [20.9 s]
Iteration 46 [0.7 s]: HR = 0.0694, NDCG = 0.0407, loss = 3.1336 [20.4 s]
Iteration 47 [0.7 s]: HR = 0.1377, NDCG = 0.0860, loss = 2.9001 [20.6 s]
Iteration 48 [0.7 s]: HR = 0.2923, NDCG = 0.1751, loss = 2.4491 [20.2 s]
Iteration 49 [0.7 s]: HR = 0.2094, NDCG = 0.1196, loss = 2.4779 [20.6 s]
End. Best Iteration 27:  HR = 0.4921, NDCG = 0.2751. 
