Init: HR = 0.0154, NDCG = 0.0154
Iteration 0 [4.0 s]: HR = 0.0189, NDCG = 0.0189, loss = 3.8408 [46.2 s]
Iteration 1 [0.2 s]: HR = 0.0201, NDCG = 0.0201, loss = 1.6946 [56.7 s]
Iteration 2 [0.2 s]: HR = 0.0216, NDCG = 0.0216, loss = 1.4276 [54.0 s]
Iteration 3 [0.4 s]: HR = 0.0228, NDCG = 0.0228, loss = 1.2954 [45.3 s]
Iteration 4 [0.4 s]: HR = 0.0243, NDCG = 0.0243, loss = 1.2078 [46.1 s]
Iteration 5 [0.2 s]: HR = 0.0251, NDCG = 0.0251, loss = 1.1417 [43.9 s]
Iteration 6 [0.2 s]: HR = 0.0251, NDCG = 0.0251, loss = 1.0888 [49.8 s]
Iteration 7 [0.2 s]: HR = 0.0255, NDCG = 0.0255, loss = 1.0444 [48.0 s]
Iteration 8 [0.2 s]: HR = 0.0258, NDCG = 0.0258, loss = 1.0061 [45.2 s]
Iteration 9 [0.2 s]: HR = 0.0262, NDCG = 0.0262, loss = 0.9719 [44.9 s]
End. Best Iteration 9:  HR = 0.0262, NDCG = 0.0262. Init: HR = 0.0424, NDCG = 0.0244
Iteration 0 [3.0 s]: HR = 0.0563, NDCG = 0.0323, loss = 4.2482 [47.9 s]
Iteration 1 [0.3 s]: HR = 0.0625, NDCG = 0.0360, loss = 1.7581 [44.8 s]
Iteration 2 [0.2 s]: HR = 0.0636, NDCG = 0.0376, loss = 1.4411 [41.6 s]
Iteration 3 [0.2 s]: HR = 0.0667, NDCG = 0.0394, loss = 1.3150 [46.4 s]
Iteration 4 [0.2 s]: HR = 0.0713, NDCG = 0.0416, loss = 1.2360 [44.7 s]
Iteration 5 [0.2 s]: HR = 0.0771, NDCG = 0.0439, loss = 1.1804 [43.2 s]
Iteration 6 [0.2 s]: HR = 0.0841, NDCG = 0.0478, loss = 1.1377 [43.4 s]
Iteration 7 [0.2 s]: HR = 0.0883, NDCG = 0.0505, loss = 1.1029 [43.6 s]
Iteration 8 [0.2 s]: HR = 0.0899, NDCG = 0.0517, loss = 1.0737 [45.1 s]
Iteration 9 [0.3 s]: HR = 0.0914, NDCG = 0.0532, loss = 1.0478 [46.1 s]
End. Best Iteration 9:  HR = 0.0914, NDCG = 0.0532. Init: HR = 0.0949, NDCG = 0.0446
Iteration 0 [2.2 s]: HR = 0.1095, NDCG = 0.0520, loss = 3.7413 [46.4 s]
Iteration 1 [0.2 s]: HR = 0.1203, NDCG = 0.0574, loss = 1.6936 [44.8 s]
Iteration 2 [0.2 s]: HR = 0.1304, NDCG = 0.0613, loss = 1.4371 [45.4 s]
Iteration 3 [0.2 s]: HR = 0.1392, NDCG = 0.0651, loss = 1.3107 [43.9 s]
Iteration 4 [0.2 s]: HR = 0.1469, NDCG = 0.0679, loss = 1.2275 [44.2 s]
Iteration 5 [0.2 s]: HR = 0.1469, NDCG = 0.0687, loss = 1.1658 [44.2 s]
Iteration 6 [0.3 s]: HR = 0.1481, NDCG = 0.0695, loss = 1.1167 [44.4 s]
Iteration 7 [0.3 s]: HR = 0.1573, NDCG = 0.0725, loss = 1.0757 [43.5 s]
Iteration 8 [0.2 s]: HR = 0.1627, NDCG = 0.0749, loss = 1.0402 [44.5 s]
Iteration 9 [0.2 s]: HR = 0.1681, NDCG = 0.0761, loss = 1.0086 [44.4 s]
End. Best Iteration 9:  HR = 0.1681, NDCG = 0.0761. Init: HR = 0.0100, NDCG = 0.0100
Iteration 0 [3.2 s]: HR = 0.0177, NDCG = 0.0177, loss = 1.0443 [42.2 s]
Iteration 1 [0.4 s]: HR = 0.0258, NDCG = 0.0258, loss = 0.4767 [44.4 s]
Iteration 2 [0.5 s]: HR = 0.0366, NDCG = 0.0366, loss = 0.4455 [44.9 s]
Iteration 3 [0.5 s]: HR = 0.0436, NDCG = 0.0436, loss = 0.4386 [44.1 s]
Iteration 4 [0.4 s]: HR = 0.0451, NDCG = 0.0451, loss = 0.4348 [43.5 s]
Iteration 5 [0.4 s]: HR = 0.0536, NDCG = 0.0536, loss = 0.4276 [47.3 s]
Iteration 6 [0.4 s]: HR = 0.0571, NDCG = 0.0571, loss = 0.4177 [45.3 s]
Iteration 7 [0.7 s]: HR = 0.0602, NDCG = 0.0602, loss = 0.4070 [47.6 s]
Iteration 8 [0.4 s]: HR = 0.0605, NDCG = 0.0605, loss = 0.3981 [45.0 s]
Iteration 9 [0.5 s]: HR = 0.0590, NDCG = 0.0590, loss = 0.3954 [45.4 s]
End. Best Iteration 8:  HR = 0.0605, NDCG = 0.0605. Init: HR = 0.0378, NDCG = 0.0218
Iteration 0 [2.8 s]: HR = 0.0613, NDCG = 0.0377, loss = 1.0347 [45.2 s]
Iteration 1 [0.5 s]: HR = 0.0725, NDCG = 0.0450, loss = 0.5209 [43.7 s]
Iteration 2 [0.5 s]: HR = 0.0821, NDCG = 0.0510, loss = 0.4812 [44.6 s]
Iteration 3 [0.4 s]: HR = 0.0937, NDCG = 0.0584, loss = 0.4644 [45.3 s]
Iteration 4 [0.5 s]: HR = 0.1022, NDCG = 0.0656, loss = 0.4547 [46.4 s]
Iteration 5 [1.1 s]: HR = 0.1103, NDCG = 0.0715, loss = 0.4481 [46.6 s]
Iteration 6 [0.5 s]: HR = 0.1219, NDCG = 0.0788, loss = 0.4430 [44.9 s]
Iteration 7 [0.4 s]: HR = 0.1323, NDCG = 0.0857, loss = 0.4384 [43.5 s]
Iteration 8 [0.5 s]: HR = 0.1411, NDCG = 0.0923, loss = 0.4339 [44.7 s]
Iteration 9 [0.5 s]: HR = 0.1492, NDCG = 0.0958, loss = 0.4290 [43.0 s]
End. Best Iteration 9:  HR = 0.1492, NDCG = 0.0958. Init: HR = 0.0829, NDCG = 0.0408
Iteration 0 [3.1 s]: HR = 0.1435, NDCG = 0.0671, loss = 0.9407 [46.5 s]
Iteration 1 [0.4 s]: HR = 0.1670, NDCG = 0.0796, loss = 0.4810 [46.3 s]
Iteration 2 [1.2 s]: HR = 0.1851, NDCG = 0.0907, loss = 0.4526 [45.2 s]
Iteration 3 [0.4 s]: HR = 0.2044, NDCG = 0.1019, loss = 0.4433 [43.6 s]
Iteration 4 [0.5 s]: HR = 0.2241, NDCG = 0.1127, loss = 0.4389 [43.4 s]
Iteration 5 [0.4 s]: HR = 0.2376, NDCG = 0.1209, loss = 0.4349 [43.7 s]
Iteration 6 [0.5 s]: HR = 0.2580, NDCG = 0.1305, loss = 0.4296 [42.8 s]
Iteration 7 [0.5 s]: HR = 0.2673, NDCG = 0.1364, loss = 0.4233 [45.3 s]
Iteration 8 [0.4 s]: HR = 0.2703, NDCG = 0.1402, loss = 0.4155 [44.2 s]
Iteration 9 [0.4 s]: HR = 0.2842, NDCG = 0.1463, loss = 0.4080 [45.3 s]
End. Best Iteration 9:  HR = 0.2842, NDCG = 0.1463. Init: HR = 0.0143, NDCG = 0.0143
Iteration 0 [4.8 s]: HR = 0.0289, NDCG = 0.0289, loss = 0.4212 [44.8 s]
Iteration 1 [0.7 s]: HR = 0.0424, NDCG = 0.0424, loss = 0.3020 [45.2 s]
Iteration 2 [0.7 s]: HR = 0.0509, NDCG = 0.0509, loss = 0.2990 [44.1 s]
Iteration 3 [0.7 s]: HR = 0.0555, NDCG = 0.0555, loss = 0.2955 [44.5 s]
Iteration 4 [0.7 s]: HR = 0.0563, NDCG = 0.0563, loss = 0.2886 [45.3 s]
Iteration 5 [1.3 s]: HR = 0.0571, NDCG = 0.0571, loss = 0.2791 [45.6 s]
Iteration 6 [0.9 s]: HR = 0.0575, NDCG = 0.0575, loss = 0.2729 [42.4 s]
Iteration 7 [0.8 s]: HR = 0.0602, NDCG = 0.0602, loss = 0.2693 [46.5 s]
Iteration 8 [0.7 s]: HR = 0.0613, NDCG = 0.0613, loss = 0.2672 [44.6 s]
Iteration 9 [0.8 s]: HR = 0.0625, NDCG = 0.0625, loss = 0.2662 [44.2 s]
End. Best Iteration 9:  HR = 0.0625, NDCG = 0.0625. Init: HR = 0.0444, NDCG = 0.0256
Iteration 0 [5.1 s]: HR = 0.0964, NDCG = 0.0590, loss = 0.4241 [46.2 s]
Iteration 1 [0.8 s]: HR = 0.1238, NDCG = 0.0800, loss = 0.3031 [46.3 s]
