Init: HR = 0.0945, NDCG = 0.0434
Iteration 0 [3.1 s]: HR = 0.2059, NDCG = 0.0968, loss = 0.4593 [46.2 s]
Iteration 1 [0.8 s]: HR = 0.2495, NDCG = 0.1254, loss = 0.3069 [50.7 s]
Iteration 2 [0.8 s]: HR = 0.2877, NDCG = 0.1449, loss = 0.2932 [53.1 s]
Iteration 3 [1.1 s]: HR = 0.3070, NDCG = 0.1557, loss = 0.2858 [59.8 s]
Iteration 4 [1.2 s]: HR = 0.3170, NDCG = 0.1601, loss = 0.2780 [65.3 s]
Iteration 5 [1.1 s]: HR = 0.3155, NDCG = 0.1605, loss = 0.2727 [58.2 s]
Iteration 6 [0.7 s]: HR = 0.3224, NDCG = 0.1641, loss = 0.2710 [59.3 s]
Iteration 7 [1.0 s]: HR = 0.3278, NDCG = 0.1675, loss = 0.2702 [50.3 s]
Iteration 8 [0.8 s]: HR = 0.3317, NDCG = 0.1694, loss = 0.2693 [48.8 s]
Iteration 9 [1.0 s]: HR = 0.3378, NDCG = 0.1727, loss = 0.2685 [55.9 s]
Iteration 10 [0.7 s]: HR = 0.3394, NDCG = 0.1765, loss = 0.2676 [51.4 s]
Iteration 11 [0.9 s]: HR = 0.3463, NDCG = 0.1794, loss = 0.2666 [45.4 s]
Iteration 12 [0.8 s]: HR = 0.3444, NDCG = 0.1799, loss = 0.2649 [60.4 s]
Iteration 13 [0.7 s]: HR = 0.3471, NDCG = 0.1813, loss = 0.2625 [52.7 s]
Iteration 14 [0.6 s]: HR = 0.3517, NDCG = 0.1831, loss = 0.2592 [60.7 s]
Iteration 15 [0.9 s]: HR = 0.3536, NDCG = 0.1850, loss = 0.2557 [63.9 s]
Iteration 16 [0.9 s]: HR = 0.3548, NDCG = 0.1860, loss = 0.2504 [53.3 s]
Iteration 17 [1.1 s]: HR = 0.3644, NDCG = 0.1903, loss = 0.2446 [57.7 s]
Iteration 18 [1.1 s]: HR = 0.3745, NDCG = 0.1959, loss = 0.2374 [63.0 s]
Iteration 19 [1.1 s]: HR = 0.3803, NDCG = 0.1995, loss = 0.2291 [66.4 s]
Iteration 20 [1.1 s]: HR = 0.3941, NDCG = 0.2064, loss = 0.2204 [51.6 s]
Iteration 21 [1.0 s]: HR = 0.4184, NDCG = 0.2163, loss = 0.2119 [52.9 s]
Iteration 22 [0.9 s]: HR = 0.4543, NDCG = 0.2310, loss = 0.2020 [61.6 s]
Iteration 23 [1.1 s]: HR = 0.4971, NDCG = 0.2525, loss = 0.1930 [49.5 s]
Iteration 24 [1.3 s]: HR = 0.5291, NDCG = 0.2725, loss = 0.1837 [69.2 s]
Iteration 25 [0.6 s]: HR = 0.5496, NDCG = 0.2901, loss = 0.1754 [52.1 s]
Iteration 26 [0.9 s]: HR = 0.5611, NDCG = 0.3079, loss = 0.1668 [53.7 s]
Iteration 27 [0.8 s]: HR = 0.5661, NDCG = 0.3243, loss = 0.1586 [45.1 s]
Iteration 28 [0.7 s]: HR = 0.5654, NDCG = 0.3408, loss = 0.1515 [44.9 s]
Iteration 29 [0.7 s]: HR = 0.5677, NDCG = 0.3609, loss = 0.1442 [41.4 s]
Iteration 30 [0.6 s]: HR = 0.5665, NDCG = 0.3745, loss = 0.1374 [49.3 s]
Iteration 31 [0.8 s]: HR = 0.5631, NDCG = 0.3878, loss = 0.1316 [43.2 s]
Iteration 32 [0.9 s]: HR = 0.5638, NDCG = 0.3999, loss = 0.1252 [48.5 s]
Iteration 33 [1.4 s]: HR = 0.5627, NDCG = 0.4122, loss = 0.1197 [53.2 s]
Iteration 34 [0.9 s]: HR = 0.5600, NDCG = 0.4219, loss = 0.1145 [45.8 s]
Iteration 35 [0.6 s]: HR = 0.5607, NDCG = 0.4329, loss = 0.1092 [42.9 s]
Iteration 36 [0.7 s]: HR = 0.5596, NDCG = 0.4405, loss = 0.1043 [66.6 s]
Iteration 37 [1.1 s]: HR = 0.5580, NDCG = 0.4475, loss = 0.0997 [53.3 s]
Iteration 38 [1.0 s]: HR = 0.5588, NDCG = 0.4532, loss = 0.0956 [46.2 s]
Iteration 39 [0.8 s]: HR = 0.5546, NDCG = 0.4559, loss = 0.0912 [41.6 s]
Iteration 40 [0.7 s]: HR = 0.5538, NDCG = 0.4575, loss = 0.0873 [40.3 s]
Iteration 41 [0.7 s]: HR = 0.5530, NDCG = 0.4600, loss = 0.0835 [49.8 s]
Iteration 42 [1.2 s]: HR = 0.5503, NDCG = 0.4620, loss = 0.0799 [46.9 s]
Iteration 43 [0.6 s]: HR = 0.5507, NDCG = 0.4628, loss = 0.0764 [53.5 s]
Iteration 44 [0.7 s]: HR = 0.5488, NDCG = 0.4646, loss = 0.0734 [51.9 s]
Iteration 45 [0.7 s]: HR = 0.5453, NDCG = 0.4649, loss = 0.0703 [46.8 s]
Iteration 46 [0.7 s]: HR = 0.5415, NDCG = 0.4650, loss = 0.0674 [44.7 s]
Iteration 47 [0.7 s]: HR = 0.5391, NDCG = 0.4663, loss = 0.0640 [47.6 s]
Iteration 48 [0.8 s]: HR = 0.5391, NDCG = 0.4668, loss = 0.0614 [48.2 s]
Iteration 49 [0.9 s]: HR = 0.5376, NDCG = 0.4667, loss = 0.0589 [43.8 s]
End. Best Iteration 29:  HR = 0.5677, NDCG = 0.3609. 
